Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	pairs	icd_pairs	interaction_type	in_phi	in_literature
Lung cancer	Prostate cancer 1	162	185	neoplasms	neoplasms	Lung cancer	Prostate cancer	0.185336241681389	4.91550884470002e-58	3.10190768181429e-57	FALSE	Lung cancer _ Prostate cancer	162 _ 185	dm	FALSE	FALSE
Parkinson's disease	Ulcer 1	332	569	diseases of the nervous system and sense organs	diseases of the digestive system	Parkinson's disease	Ulcer	0.185093764804248	1.24144051193453e-54	7.49978628053436e-54	TRUE	Parkinson's disease _ Ulcer	332 _ 569	dm	TRUE	TRUE
Huntington's disease	Keratoconus 2	333	371	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Huntington's disease	Keratoconus	0.184997594779505	6.23057447549371e-24	2.2375573291292e-23	FALSE	Huntington's disease _ Keratoconus	333 _ 371	dm	FALSE	FALSE
Human immunodeficiency virus infection	Colorectal cancer 5	42	153	infectious and parasitic diseases	neoplasms	Human immunodeficiency virus infection	Colorectal cancer	0.184793890671385	2.03373089908789e-08	4.36572305864249e-08	FALSE	Colorectal cancer _ Human immunodeficiency virus infection	42 _ 153	dm	FALSE	FALSE
Kaposi's sarcoma	Liver cancer 2	176	155	neoplasms	neoplasms	Kaposi's sarcoma	Liver cancer	0.18410281005188	9.65355803657273e-59	6.13583735265753e-58	FALSE	Kaposi's sarcoma _ Liver cancer	155 _ 176	dm	TRUE	TRUE
Lung cancer	Post-traumatic stress disorder 2	162	309	neoplasms	mental disorders	Lung cancer	Post-traumatic stress disorder	0.183813630822828	3.89088052488391e-57	2.41937740058153e-56	TRUE	Lung cancer _ Post-traumatic stress disorder	162 _ 309	dm	TRUE	TRUE
Colorectal cancer	Smoker 2	153	305	neoplasms	mental disorders	Colorectal cancer	Smoker	0.18334162100241	7.73978345098632e-15	2.1434049583914e-14	FALSE	Colorectal cancer _ Smoker	153 _ 305	dm	FALSE	TRUE
Hyperplastic polyps	Systemic lupus erythematosus 2	211	710	neoplasms	diseases of the musculoskeletal system and connective tissue	Hyperplastic polyps	Systemic lupus erythematosus	0.182847023842189	1.1719534797477e-33	5.1631341071288e-33	TRUE	Hyperplastic polyps _ Systemic lupus erythematosus	211 _ 710	dm	TRUE	TRUE
Crohn's disease	Keratoconus 2	555	371	diseases of the digestive system	diseases of the nervous system and sense organs	Crohn's disease	Keratoconus	0.181997912224509	6.07648064511233e-65	4.22166320284792e-64	FALSE	Crohn's disease _ Keratoconus	371 _ 555	dm	FALSE	TRUE
Huntington's disease	Coeliac disease 2	333	579	diseases of the nervous system and sense organs	diseases of the digestive system	Huntington's disease	Coeliac disease	0.181766091202336	8.05194697984809e-28	3.16881415008846e-27	TRUE	Coeliac disease _ Huntington's disease	333 _ 579	dm	TRUE	TRUE
Multiple sclerosis	Ischemia 2	340	414	diseases of the nervous system and sense organs	diseases of the circulatory system	Multiple sclerosis	Ischemia	0.180320635167926	0.000726235435764441	0.00117491044099637	FALSE	Ischemia _ Multiple sclerosis	340 _ 414	dm	FALSE	TRUE
Schizophrenia	Facioscapulohumeral muscular dystrophy 4	295	359	mental disorders	diseases of the nervous system and sense organs	Schizophrenia	Facioscapulohumeral muscular dystrophy	0.180130248326763	0.000722928839920781	0.00117002200107005	FALSE	Facioscapulohumeral muscular dystrophy _ Schizophrenia	295 _ 359	dm	TRUE	TRUE
Systemic lupus erythematosus	Idiopathic pulmonary fibrosis 1	710	516	diseases of the musculoskeletal system and connective tissue	diseases of the respiratory system	Systemic lupus erythematosus	Idiopathic pulmonary fibrosis	0.180011011665276	5.23784298075729e-58	3.29855571763642e-57	TRUE	Idiopathic pulmonary fibrosis _ Systemic lupus erythematosus	516 _ 710	dm	TRUE	TRUE
Coeliac disease	Parkinson's disease 7	579	332	diseases of the digestive system	diseases of the nervous system and sense organs	Coeliac disease	Parkinson's disease	0.179891211868694	6.258691175228e-28	2.46860576037331e-27	FALSE	Coeliac disease _ Parkinson's disease	332 _ 579	dm	TRUE	TRUE
Human immunodeficiency virus infection	Smoker	42	305	infectious and parasitic diseases	mental disorders	Human immunodeficiency virus infection	Smoker	0.1798642436702	6.26389412445992e-06	1.17280206452496e-05	TRUE	Human immunodeficiency virus infection _ Smoker	42 _ 305	dd	TRUE	TRUE
Borrelia burgdorferi infection	Keratoconus 2	88	371	infectious and parasitic diseases	diseases of the nervous system and sense organs	Borrelia burgdorferi infection	Keratoconus	0.179766981396201	3.35902078200793e-35	1.52007413639874e-34	FALSE	Borrelia burgdorferi infection _ Keratoconus	88 _ 371	dm	TRUE	TRUE
Alagille syndrome	Parkinson's disease 5	759	332	congenital anomalies	diseases of the nervous system and sense organs	Alagille syndrome	Parkinson's disease	0.179450882303377	5.1725242154513e-33	2.24744808768709e-32	FALSE	Alagille syndrome _ Parkinson's disease	332 _ 759	dm	FALSE	FALSE
Huntington's disease	Ischemia 1	333	414	diseases of the nervous system and sense organs	diseases of the circulatory system	Huntington's disease	Ischemia	0.179335755338996	9.61035383484943e-23	3.33747782739428e-22	FALSE	Huntington's disease _ Ischemia	333 _ 414	dm	FALSE	FALSE
Lung cancer	Lymphocytic colitis 3	162	558	neoplasms	diseases of the digestive system	Lung cancer	Lymphocytic colitis	0.178993320183294	3.79447451336579e-54	2.28112918768374e-53	FALSE	Lung cancer _ Lymphocytic colitis	162 _ 558	dm	FALSE	TRUE
Idiopathic pulmonary fibrosis	Coeliac disease 2	516	579	diseases of the respiratory system	diseases of the digestive system	Idiopathic pulmonary fibrosis	Coeliac disease	0.17897440008621	3.06901483603085e-51	1.77484153756939e-50	TRUE	Coeliac disease _ Idiopathic pulmonary fibrosis	516 _ 579	dm	TRUE	TRUE
Multiple sclerosis	Sessile serrated polyps	340	211	diseases of the nervous system and sense organs	neoplasms	Multiple sclerosis	Sessile serrated polyps	0.177218092754617	1.95426850101215e-22	6.729851662138e-22	FALSE	Multiple sclerosis _ Sessile serrated polyps	211 _ 340	dd	FALSE	FALSE
Lung cancer	Autism 1	162	299	neoplasms	mental disorders	Lung cancer	Autism	0.176307790500033	1.32368642433117e-52	7.77547418927578e-52	FALSE	Autism _ Lung cancer	162 _ 299	dm	FALSE	FALSE
Adenomatous polyps	Parkinson's disease 7	211	332	neoplasms	diseases of the nervous system and sense organs	Adenomatous polyps	Parkinson's disease	0.174507393728537	2.69321100616686e-30	1.11700246376981e-29	FALSE	Adenomatous polyps _ Parkinson's disease	211 _ 332	dm	FALSE	FALSE
Papillary thyroid cancer	Prostate cancer 1	193	185	neoplasms	neoplasms	Papillary thyroid cancer	Prostate cancer	0.173746810053511	9.23080698951933e-12	2.27957258413992e-11	FALSE	Papillary thyroid cancer _ Prostate cancer	185 _ 193	dm	FALSE	TRUE
Friedreich's ataxia	Keratoconus 2	334	371	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Friedreich's ataxia	Keratoconus	0.173144530531556	1.83857868282304e-19	5.89474550104483e-19	FALSE	Friedreich's ataxia _ Keratoconus	334 _ 371	dm	TRUE	TRUE
Ulcer	Glioblastoma	569	191	diseases of the digestive system	neoplasms	Ulcer	Glioblastoma	0.171859576217307	7.95837888685191e-73	6.09268558907656e-72	FALSE	Glioblastoma _ Ulcer	191 _ 569	dd	FALSE	FALSE
Idiopathic pulmonary fibrosis	Amyotrophic lateral sclerosis 2	516	335	diseases of the respiratory system	diseases of the nervous system and sense organs	Idiopathic pulmonary fibrosis	Amyotrophic lateral sclerosis	0.170533662650454	5.30993622253926e-44	2.79043491421666e-43	FALSE	Amyotrophic lateral sclerosis _ Idiopathic pulmonary fibrosis	335 _ 516	dm	FALSE	FALSE
Systemic lupus erythematosus	Familial dysautonomia 1	710	742	diseases of the musculoskeletal system and connective tissue	congenital anomalies	Systemic lupus erythematosus	Familial dysautonomia	0.170156471190091	1.59137912526186e-22	5.49400450251559e-22	TRUE	Familial dysautonomia _ Systemic lupus erythematosus	710 _ 742	dm	TRUE	TRUE
Adenomatous polyps	Multiple sclerosis 3	211	340	neoplasms	diseases of the nervous system and sense organs	Adenomatous polyps	Multiple sclerosis	0.169051651129975	1.71187660488265e-11	4.1847382454742e-11	FALSE	Adenomatous polyps _ Multiple sclerosis	211 _ 340	dm	FALSE	FALSE
Down syndrome	Parkinson's disease 5	758	332	congenital anomalies	diseases of the nervous system and sense organs	Down syndrome	Parkinson's disease	0.168341408719862	2.48843320003546e-29	1.01364153961762e-28	FALSE	Down syndrome _ Parkinson's disease	332 _ 758	dm	TRUE	TRUE
Systemic lupus erythematosus	Friedreich's ataxia 2	710	334	diseases of the musculoskeletal system and connective tissue	diseases of the nervous system and sense organs	Systemic lupus erythematosus	Friedreich's ataxia	0.165889893583653	3.62901930219894e-29	1.47337705222434e-28	TRUE	Friedreich's ataxia _ Systemic lupus erythematosus	334 _ 710	dm	TRUE	TRUE
Friedreich's ataxia	Lymphocytic colitis 2	334	558	diseases of the nervous system and sense organs	diseases of the digestive system	Friedreich's ataxia	Lymphocytic colitis	0.164622736102992	9.47803645366995e-18	2.88969888111972e-17	TRUE	Friedreich's ataxia _ Lymphocytic colitis	334 _ 558	dm	TRUE	TRUE
Papillary thyroid cancer	Facioscapulohumeral muscular dystrophy 1	193	359	neoplasms	diseases of the nervous system and sense organs	Papillary thyroid cancer	Facioscapulohumeral muscular dystrophy	0.16417646259619	1.32406710709693e-10	3.12509266626174e-10	FALSE	Facioscapulohumeral muscular dystrophy _ Papillary thyroid cancer	193 _ 359	dm	TRUE	TRUE
Muscular dystrophy	Amyotrophic lateral sclerosis 1	359	335	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Muscular dystrophy	Amyotrophic lateral sclerosis	0.163438501503629	0.00453789346217122	0.00687634046832637	TRUE	Amyotrophic lateral sclerosis _ Muscular dystrophy	335 _ 359	dm	TRUE	TRUE
Alagille syndrome	Papillary thyroid cancer 3	759	193	congenital anomalies	neoplasms	Alagille syndrome	Papillary thyroid cancer	0.16336379292658	2.00889263571871e-14	5.48073964269836e-14	TRUE	Alagille syndrome _ Papillary thyroid cancer	193 _ 759	dm	TRUE	TRUE
Familial dysautonomia	Lung cancer 2	742	162	congenital anomalies	neoplasms	Familial dysautonomia	Lung cancer	0.162956774686249	3.52954918339621e-49	1.98797379245882e-48	FALSE	Familial dysautonomia _ Lung cancer	162 _ 742	dm	FALSE	FALSE
Papillary thyroid cancer	Ischemia 1	193	414	neoplasms	diseases of the circulatory system	Papillary thyroid cancer	Ischemia	0.161817094102003	1.62267910694443e-10	3.81744867061526e-10	FALSE	Ischemia _ Papillary thyroid cancer	193 _ 414	dm	FALSE	FALSE
Ulcer	Ischemia 1	569	414	diseases of the digestive system	diseases of the circulatory system	Ulcer	Ischemia	0.161782484261526	1.24316292760442e-29	5.10442698074374e-29	TRUE	Ischemia _ Ulcer	414 _ 569	dm	TRUE	TRUE
Familial pulmonary arterial hypertension	Sessile serrated polyps	416	211	diseases of the circulatory system	neoplasms	Familial pulmonary arterial hypertension	Sessile serrated polyps	0.161711136708167	1.51037000295149e-17	4.5644596899795e-17	TRUE	Familial pulmonary arterial hypertension _ Sessile serrated polyps	211 _ 416	dd	TRUE	TRUE
Adenomatous polyps	Huntington's disease 1	211	333	neoplasms	diseases of the nervous system and sense organs	Adenomatous polyps	Huntington's disease	0.160955010732816	7.80111582228822e-36	3.55904239625727e-35	TRUE	Adenomatous polyps _ Huntington's disease	211 _ 333	dm	TRUE	TRUE
Asthma	Lung cancer 1	493	162	diseases of the respiratory system	neoplasms	Asthma	Lung cancer	0.159955797188701	5.78339831751244e-49	3.24555355239719e-48	TRUE	Asthma _ Lung cancer	162 _ 493	dm	TRUE	TRUE
Amyotrophic lateral sclerosis	Kaposi's sarcoma 1	335	176	diseases of the nervous system and sense organs	neoplasms	Amyotrophic lateral sclerosis	Kaposi's sarcoma	0.15982158338627	4.61862303044639e-14	1.24408918628993e-13	FALSE	Amyotrophic lateral sclerosis _ Kaposi's sarcoma	176 _ 335	dm	FALSE	FALSE
Prostate cancer	Schizophrenia 2	185	295	neoplasms	mental disorders	Prostate cancer	Schizophrenia	0.159784023581309	1.31600993180543e-09	2.97989160661383e-09	FALSE	Prostate cancer _ Schizophrenia	185 _ 295	dm	FALSE	FALSE
Idiopathic pulmonary fibrosis	Autism 1	516	299	diseases of the respiratory system	mental disorders	Idiopathic pulmonary fibrosis	Autism	0.159587866439446	1.74434049817736e-38	8.37038810149932e-38	FALSE	Autism _ Idiopathic pulmonary fibrosis	299 _ 516	dm	FALSE	FALSE
Chronic lymphocytic leukemia	Asthma 5	204	493	neoplasms	diseases of the respiratory system	Chronic lymphocytic leukemia	Asthma	0.159023328490799	1.63971160251908e-22	5.65769398314565e-22	FALSE	Asthma _ Chronic lymphocytic leukemia	204 _ 493	dm	TRUE	TRUE
Schizophrenia	Familial pulmonary arterial hypertension 2	295	416	mental disorders	diseases of the circulatory system	Schizophrenia	Familial pulmonary arterial hypertension	0.158846513930694	0.00292256317203696	0.00451016451430108	FALSE	Familial pulmonary arterial hypertension _ Schizophrenia	295 _ 416	dm	FALSE	FALSE
Colorectal cancer	Autism 1	153	299	neoplasms	mental disorders	Colorectal cancer	Autism	0.158453008378164	3.78215777463156e-06	7.18405851471265e-06	FALSE	Autism _ Colorectal cancer	153 _ 299	dm	FALSE	FALSE
Kaposi's sarcoma	Keratoconus 2	176	371	neoplasms	diseases of the nervous system and sense organs	Kaposi's sarcoma	Keratoconus	0.156504581464102	4.30126725938903e-10	9.95172992132872e-10	FALSE	Kaposi's sarcoma _ Keratoconus	176 _ 371	dm	FALSE	FALSE
Glioblastoma	Myotonic dystrophy 2	191	359	neoplasms	diseases of the nervous system and sense organs	Glioblastoma	Myotonic dystrophy	0.156401748206371	9.11904960619337e-49	5.10120131921389e-48	TRUE	Glioblastoma _ Myotonic dystrophy	191 _ 359	dm	TRUE	TRUE
Glioblastoma	Ulcerative colitis 1	191	556	neoplasms	diseases of the digestive system	Glioblastoma	Ulcerative colitis	0.15566536741113	1.96394770381864e-63	1.32995644945783e-62	FALSE	Glioblastoma _ Ulcerative colitis	191 _ 556	dm	FALSE	FALSE
Kaposi's sarcoma	Ischemia 1	176	414	neoplasms	diseases of the circulatory system	Kaposi's sarcoma	Ischemia	0.155590211774285	3.5971046790008e-10	8.34446995026965e-10	TRUE	Ischemia _ Kaposi's sarcoma	176 _ 414	dm	TRUE	TRUE
Idiopathic pulmonary fibrosis	Lymphocytic colitis 2	516	558	diseases of the respiratory system	diseases of the digestive system	Idiopathic pulmonary fibrosis	Lymphocytic colitis	0.155139086492728	2.03695682671288e-36	9.39043195787772e-36	TRUE	Idiopathic pulmonary fibrosis _ Lymphocytic colitis	516 _ 558	dm	TRUE	TRUE
Familial dysautonomia	Coeliac disease 2	742	579	congenital anomalies	diseases of the digestive system	Familial dysautonomia	Coeliac disease	0.155063745885143	4.12445847173974e-11	9.93062538211301e-11	TRUE	Coeliac disease _ Familial dysautonomia	579 _ 742	dm	TRUE	TRUE
Glioblastoma	Papillary thyroid cancer 1	191	193	neoplasms	neoplasms	Glioblastoma	Papillary thyroid cancer	0.154801223411676	1.48821706565265e-53	8.85169377822757e-53	FALSE	Glioblastoma _ Papillary thyroid cancer	191 _ 193	dm	TRUE	TRUE
Alagille syndrome	Lung cancer 1	759	162	congenital anomalies	neoplasms	Alagille syndrome	Lung cancer	0.154700361617823	1.75270912452629e-42	8.98081156236058e-42	TRUE	Alagille syndrome _ Lung cancer	162 _ 759	dm	TRUE	TRUE
Eosinophilic esophagitis	Asthma 2	530	493	diseases of the digestive system	diseases of the respiratory system	Eosinophilic esophagitis	Asthma	0.154240081140211	1.58556134714396e-30	6.59606371972957e-30	TRUE	Asthma _ Eosinophilic esophagitis	493 _ 530	dm	TRUE	TRUE
Systemic lupus erythematosus	Ulcerative colitis 1	710	556	diseases of the musculoskeletal system and connective tissue	diseases of the digestive system	Systemic lupus erythematosus	Ulcerative colitis	0.153959496070164	1.75203113958389e-36	8.08902532885845e-36	TRUE	Systemic lupus erythematosus _ Ulcerative colitis	556 _ 710	dm	TRUE	TRUE
Liver cancer	Prostate cancer 1	155	185	neoplasms	neoplasms	Liver cancer	Prostate cancer	0.153418453980254	2.5280366519961e-37	1.18629925635383e-36	FALSE	Liver cancer _ Prostate cancer	155 _ 185	dm	FALSE	FALSE
Rheumatoid arthritis	Eosinophilic esophagitis 2	714	530	diseases of the musculoskeletal system and connective tissue	diseases of the digestive system	Rheumatoid arthritis	Eosinophilic esophagitis	0.153310356966612	2.82369341432784e-33	1.23560410222701e-32	TRUE	Eosinophilic esophagitis _ Rheumatoid arthritis	530 _ 714	dm	TRUE	TRUE
Liver cancer	Lymphocytic colitis 2	155	558	neoplasms	diseases of the digestive system	Liver cancer	Lymphocytic colitis	0.151734084795265	1.58364924021794e-36	7.31984665703737e-36	TRUE	Liver cancer _ Lymphocytic colitis	155 _ 558	dm	TRUE	TRUE
Ulcerative colitis	Schizophrenia 1	556	295	diseases of the digestive system	mental disorders	Ulcerative colitis	Schizophrenia	0.150997638281031	1.85587609841742e-40	9.19576901862661e-40	FALSE	Schizophrenia _ Ulcerative colitis	295 _ 556	dm	FALSE	TRUE
Lung cancer	Colorectal cancer 5	162	153	neoplasms	neoplasms	Lung cancer	Colorectal cancer	0.150800267276666	8.78896433087631e-41	4.37424091425189e-40	FALSE	Colorectal cancer _ Lung cancer	153 _ 162	dm	FALSE	TRUE
Hyperplastic polyps	Multiple sclerosis	211	340	neoplasms	diseases of the nervous system and sense organs	Hyperplastic polyps	Multiple sclerosis	0.14988456859543	4.49706607468411e-24	1.62068051222817e-23	FALSE	Hyperplastic polyps _ Multiple sclerosis	211 _ 340	dd	FALSE	FALSE
Idiopathic pulmonary fibrosis	Multiple sclerosis 3	516	340	diseases of the respiratory system	diseases of the nervous system and sense organs	Idiopathic pulmonary fibrosis	Multiple sclerosis	0.149459897856345	4.21935693608605e-36	1.9357183887787e-35	FALSE	Idiopathic pulmonary fibrosis _ Multiple sclerosis	340 _ 516	dm	FALSE	FALSE
Schizophrenia	Colorectal cancer 4	295	153	mental disorders	neoplasms	Schizophrenia	Colorectal cancer	0.149021601892119	2.3759608517548e-08	5.07844625575492e-08	FALSE	Colorectal cancer _ Schizophrenia	153 _ 295	dm	FALSE	TRUE
Friedreich's ataxia	Ulcer 1	334	569	diseases of the nervous system and sense organs	diseases of the digestive system	Friedreich's ataxia	Ulcer	0.147764706284611	4.44017647728865e-28	1.75752229586252e-27	FALSE	Friedreich's ataxia _ Ulcer	334 _ 569	dm	TRUE	TRUE
Breast cancer	Bipolar disorder 2	174	296	neoplasms	mental disorders	Breast cancer	Bipolar disorder	0.147648560855342	1.33780843692008e-42	6.87776474373188e-42	FALSE	Bipolar disorder _ Breast cancer	174 _ 296	dm	FALSE	FALSE
Lung cancer	Facioscapulohumeral muscular dystrophy 5	162	359	neoplasms	diseases of the nervous system and sense organs	Lung cancer	Facioscapulohumeral muscular dystrophy	0.147103073409401	5.9210072865791e-37	2.76268817257884e-36	TRUE	Facioscapulohumeral muscular dystrophy _ Lung cancer	162 _ 359	dm	TRUE	TRUE
Crohn's disease	Huntington's disease 2	555	333	diseases of the digestive system	diseases of the nervous system and sense organs	Crohn's disease	Huntington's disease	0.147024118972239	7.98963502079071e-50	4.53740544887506e-49	FALSE	Crohn's disease _ Huntington's disease	333 _ 555	dm	TRUE	TRUE
Chronic obstructive pulmonary disease	Schizophrenia 1	496	295	diseases of the respiratory system	mental disorders	Chronic obstructive pulmonary disease	Schizophrenia	0.146781498529284	3.81526383292117e-42	1.94763447550447e-41	TRUE	Chronic obstructive pulmonary disease _ Schizophrenia	295 _ 496	dm	TRUE	TRUE
Idiopathic pulmonary fibrosis	Liver cancer 3	516	155	diseases of the respiratory system	neoplasms	Idiopathic pulmonary fibrosis	Liver cancer	0.146501555681091	1.59527026787936e-51	9.25166627106309e-51	FALSE	Idiopathic pulmonary fibrosis _ Liver cancer	155 _ 516	dm	FALSE	TRUE
Ulcer	Post-traumatic stress disorder 1	569	309	diseases of the digestive system	mental disorders	Ulcer	Post-traumatic stress disorder	0.145649478316747	3.82257874005616e-24	1.3792186561222e-23	TRUE	Post-traumatic stress disorder _ Ulcer	309 _ 569	dm	TRUE	TRUE
Ischemia	Colorectal cancer 2	414	153	diseases of the circulatory system	neoplasms	Ischemia	Colorectal cancer	0.145117940427952	8.67228793345336e-06	1.61196986214393e-05	FALSE	Colorectal cancer _ Ischemia	153 _ 414	dm	FALSE	FALSE
Parkinson's disease	Facioscapulohumeral muscular dystrophy 5	332	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Parkinson's disease	Facioscapulohumeral muscular dystrophy	0.144953144728045	1.44331718160676e-22	4.98703535568921e-22	TRUE	Facioscapulohumeral muscular dystrophy _ Parkinson's disease	332 _ 359	dm	TRUE	TRUE
Cardiomyopathy	Friedreich's ataxia 1	425	334	diseases of the circulatory system	diseases of the nervous system and sense organs	Cardiomyopathy	Friedreich's ataxia	0.144409509238944	7.79855301776785e-16	2.22883007129616e-15	FALSE	Cardiomyopathy _ Friedreich's ataxia	334 _ 425	dm	TRUE	TRUE
Kaposi's sarcoma	Autism 1	176	299	neoplasms	mental disorders	Kaposi's sarcoma	Autism	0.143554371339883	9.75133514704129e-09	2.1225825471153e-08	FALSE	Autism _ Kaposi's sarcoma	176 _ 299	dm	FALSE	FALSE
Kaposi's sarcoma	Post-traumatic stress disorder 1	176	309	neoplasms	mental disorders	Kaposi's sarcoma	Post-traumatic stress disorder	0.143117835994297	1.17800376141737e-08	2.55739343199493e-08	FALSE	Kaposi's sarcoma _ Post-traumatic stress disorder	176 _ 309	dm	TRUE	TRUE
Autism	Ulcerative colitis 1	299	556	mental disorders	diseases of the digestive system	Autism	Ulcerative colitis	0.14285551478946	1.28225807062356e-31	5.44087320494006e-31	FALSE	Autism _ Ulcerative colitis	299 _ 556	dm	TRUE	TRUE
Myotonic dystrophy	Colorectal cancer 5	359	153	diseases of the nervous system and sense organs	neoplasms	Myotonic dystrophy	Colorectal cancer	0.141849616874907	1.78525971561606e-05	3.24539981950393e-05	FALSE	Colorectal cancer _ Myotonic dystrophy	153 _ 359	dm	FALSE	TRUE
Sessile serrated polyps	Myotonic dystrophy 1	211	359	neoplasms	diseases of the nervous system and sense organs	Sessile serrated polyps	Myotonic dystrophy	0.141835669041173	8.21015437067642e-14	2.19139071588282e-13	TRUE	Myotonic dystrophy _ Sessile serrated polyps	211 _ 359	dm	TRUE	TRUE
Liver cancer	Colorectal cancer 5	155	153	neoplasms	neoplasms	Liver cancer	Colorectal cancer	0.141482867307605	9.65467089810018e-34	4.25801060232001e-33	TRUE	Colorectal cancer _ Liver cancer	153 _ 155	dm	TRUE	TRUE
Down syndrome	Asthma 5	758	493	congenital anomalies	diseases of the respiratory system	Down syndrome	Asthma	0.141258006322715	1.72415711688388e-14	4.71330833683435e-14	FALSE	Asthma _ Down syndrome	493 _ 758	dm	FALSE	FALSE
Keratoconus	Cardiomyopathy 1	371	425	diseases of the nervous system and sense organs	diseases of the circulatory system	Keratoconus	Cardiomyopathy	0.140379324419058	7.32250703583353e-09	1.60381653035913e-08	FALSE	Cardiomyopathy _ Keratoconus	371 _ 425	dm	FALSE	FALSE
Prostate cancer	Parkinson's disease 3	185	332	neoplasms	diseases of the nervous system and sense organs	Prostate cancer	Parkinson's disease	0.139533701179003	7.76663318325196e-21	2.57452603744073e-20	FALSE	Parkinson's disease _ Prostate cancer	185 _ 332	dm	FALSE	FALSE
Ulcerative colitis	Cardiomyopathy 1	556	425	diseases of the digestive system	diseases of the circulatory system	Ulcerative colitis	Cardiomyopathy	0.139307437101549	8.36311281823214e-36	3.81261375629102e-35	FALSE	Cardiomyopathy _ Ulcerative colitis	425 _ 556	dm	TRUE	TRUE
Adenomatous polyps	Ischemia	211	414	neoplasms	diseases of the circulatory system	Adenomatous polyps	Ischemia	0.139006557292751	7.20621672399496e-05	0.000125998832656025	TRUE	Adenomatous polyps _ Ischemia	211 _ 414	dd	TRUE	TRUE
Ulcer	Idiopathic pulmonary fibrosis 1	569	516	diseases of the digestive system	diseases of the respiratory system	Ulcer	Idiopathic pulmonary fibrosis	0.138751546293146	6.09898120828781e-45	3.23963995358729e-44	TRUE	Idiopathic pulmonary fibrosis _ Ulcer	516 _ 569	dm	TRUE	TRUE
Huntington's disease	Facioscapulohumeral muscular dystrophy 2	333	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Huntington's disease	Facioscapulohumeral muscular dystrophy	0.138710252931565	4.87777517918352e-14	1.31303397415172e-13	TRUE	Facioscapulohumeral muscular dystrophy _ Huntington's disease	333 _ 359	dm	TRUE	TRUE
Adenomatous polyps	Glioblastoma 2	211	191	neoplasms	neoplasms	Adenomatous polyps	Glioblastoma	0.138699194673916	2.04659875298492e-38	9.80933985963745e-38	FALSE	Adenomatous polyps _ Glioblastoma	191 _ 211	dm	FALSE	TRUE
Papillary thyroid cancer	Schizophrenia 2	193	295	neoplasms	mental disorders	Papillary thyroid cancer	Schizophrenia	0.13820648874924	2.31120712508558e-13	6.07024506754888e-13	FALSE	Papillary thyroid cancer _ Schizophrenia	193 _ 295	dm	FALSE	FALSE
Autism	Asthma 2	299	493	mental disorders	diseases of the respiratory system	Autism	Asthma	0.137638598741895	0.000349253802333315	0.000579955289450225	FALSE	Asthma _ Autism	299 _ 493	dm	FALSE	TRUE
Idiopathic pulmonary fibrosis	Adenomatous polyps 1	516	211	diseases of the respiratory system	neoplasms	Idiopathic pulmonary fibrosis	Adenomatous polyps	0.137306470202706	3.29078645259517e-32	1.409944609498e-31	TRUE	Adenomatous polyps _ Idiopathic pulmonary fibrosis	211 _ 516	dm	TRUE	TRUE
Cardiomyopathy	Chronic lymphocytic leukemia 1	425	204	diseases of the circulatory system	neoplasms	Cardiomyopathy	Chronic lymphocytic leukemia	0.136684685305016	5.00414510740765e-07	9.96782979188994e-07	FALSE	Cardiomyopathy _ Chronic lymphocytic leukemia	204 _ 425	dm	TRUE	TRUE
Familial pulmonary arterial hypertension	Ulcer 1	416	569	diseases of the circulatory system	diseases of the digestive system	Familial pulmonary arterial hypertension	Ulcer	0.136458381487284	7.18200610817042e-16	2.05452743243017e-15	TRUE	Familial pulmonary arterial hypertension _ Ulcer	416 _ 569	dm	TRUE	TRUE
Ulcerative colitis	Multiple sclerosis 3	556	340	diseases of the digestive system	diseases of the nervous system and sense organs	Ulcerative colitis	Multiple sclerosis	0.135849935170094	2.54526779447506e-32	1.09471399065446e-31	TRUE	Multiple sclerosis _ Ulcerative colitis	340 _ 556	dm	TRUE	TRUE
Kaposi's sarcoma	Familial dysautonomia 1	176	742	neoplasms	congenital anomalies	Kaposi's sarcoma	Familial dysautonomia	0.134712898732546	7.10698462670781e-20	2.30317907476419e-19	FALSE	Familial dysautonomia _ Kaposi's sarcoma	176 _ 742	dm	FALSE	FALSE
Schizophrenia	Alagille syndrome 1	295	759	mental disorders	congenital anomalies	Schizophrenia	Alagille syndrome	0.134520338581615	0.0112910771094951	0.016451796526468	FALSE	Alagille syndrome _ Schizophrenia	295 _ 759	dm	FALSE	FALSE
Friedreich's ataxia	Asthma 2	334	493	diseases of the nervous system and sense organs	diseases of the respiratory system	Friedreich's ataxia	Asthma	0.133875378362529	1.75799527505278e-14	4.80474501843803e-14	FALSE	Asthma _ Friedreich's ataxia	334 _ 493	dm	FALSE	FALSE
