Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	pairs	icd_pairs	interaction_type	in_phi	in_literature
Myotonic dystrophy	Parkinson's disease 5	359	332	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Myotonic dystrophy	Parkinson's disease	0.43961664656222	2.33180770586739e-206	5.27031326988524e-205	TRUE	Myotonic dystrophy _ Parkinson's disease	332 _ 359	dm	TRUE	TRUE
Lung cancer	Idiopathic pulmonary fibrosis 2	162	516	neoplasms	diseases of the respiratory system	Lung cancer	Idiopathic pulmonary fibrosis	0.435725028735557	0	0	TRUE	Idiopathic pulmonary fibrosis _ Lung cancer	162 _ 516	dm	TRUE	TRUE
Multiple sclerosis	Parkinson's disease 7	340	332	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Multiple sclerosis	Parkinson's disease	0.427972579797598	3.81010166496384e-173	7.23156121864786e-172	FALSE	Multiple sclerosis _ Parkinson's disease	332 _ 340	dm	FALSE	FALSE
Lung cancer	Liver cancer 3	162	155	neoplasms	neoplasms	Lung cancer	Liver cancer	0.422994760512344	0	0	TRUE	Liver cancer _ Lung cancer	155 _ 162	dm	TRUE	TRUE
Familial dysautonomia	Bipolar disorder 4	742	296	congenital anomalies	mental disorders	Familial dysautonomia	Bipolar disorder	0.409834528679535	2.5684409248669e-44	1.35611038630564e-43	TRUE	Bipolar disorder _ Familial dysautonomia	296 _ 742	dm	TRUE	TRUE
Bipolar disorder	Rheumatoid arthritis 2	296	714	mental disorders	diseases of the musculoskeletal system and connective tissue	Bipolar disorder	Rheumatoid arthritis	0.409407769309864	2.73164222044939e-138	4.00575819898758e-137	TRUE	Bipolar disorder _ Rheumatoid arthritis	296 _ 714	dm	TRUE	TRUE
Huntington's disease	Familial dysautonomia	333	742	diseases of the nervous system and sense organs	congenital anomalies	Huntington's disease	Familial dysautonomia	0.408605283080779	1.52498608551447e-149	2.45874065462922e-148	TRUE	Familial dysautonomia _ Huntington's disease	333 _ 742	dd	TRUE	TRUE
Ulcerative colitis	Kaposi's sarcoma 1	556	176	diseases of the digestive system	neoplasms	Ulcerative colitis	Kaposi's sarcoma	0.405669054107858	0	0	TRUE	Kaposi's sarcoma _ Ulcerative colitis	176 _ 556	dm	TRUE	TRUE
Cardiomyopathy	Rheumatoid arthritis 2	425	714	diseases of the circulatory system	diseases of the musculoskeletal system and connective tissue	Cardiomyopathy	Rheumatoid arthritis	0.405628850279242	5.7804915917322e-140	8.63079944569178e-139	FALSE	Cardiomyopathy _ Rheumatoid arthritis	425 _ 714	dm	TRUE	TRUE
Adenomatous polyps	Prostate cancer 1	211	185	neoplasms	neoplasms	Adenomatous polyps	Prostate cancer	0.388124460860172	1.26463751099753e-30	5.27167677173183e-30	FALSE	Adenomatous polyps _ Prostate cancer	185 _ 211	dm	FALSE	TRUE
Glioblastoma	Multiple sclerosis 3	191	340	neoplasms	diseases of the nervous system and sense organs	Glioblastoma	Multiple sclerosis	0.385785672835185	0	0	FALSE	Glioblastoma _ Multiple sclerosis	191 _ 340	dm	FALSE	FALSE
