Dis1	Dis2	RR_99perc_left_bound
425	558	1.38662993513439
425	569	1.16721723198232
425	579	1.28049434297122
425	710	1.75430534473293
493	496	2.42735673946579
493	516	2.16477428355244
493	530	1.84543918746435
493	555	1.11013511684713
493	556	1.27929455657027
493	558	1.66446461279245
493	569	1.19790233693432
493	579	1.19329663729996
493	710	1.16756560432826
493	714	1.31731723992156
496	516	2.72340500097511
496	530	1.44564931224111
496	555	1.18789287206224
496	556	1.22185562859869
496	558	1.4321958957213
496	569	1.32385775006343
496	579	1.44486102245649
496	710	1.18360250656228
496	714	1.18808947542271
496	742	1.16968482448392
496	759	1.14353777872195
516	530	1.66491380444942
516	556	1.28360050249663
516	558	1.65104472293769
516	569	1.17698905336667
516	579	1.23881287586377
516	710	4.70515994693224
516	714	2.79114668444993
530	555	1.58229909452718
530	556	1.54045385807904
530	558	2.01214088114735
530	569	1.64016106892619
530	579	2.21912219398005
530	710	2.16610446651854
530	714	1.48033525982661
530	742	1.24052796420311
530	759	1.11163621690465
555	556	27.0213675898874
555	558	4.24683189845701
555	569	8.19365593294873
555	579	19.3813583401575
555	710	1.30105027347911
555	714	1.2338088806375
556	558	4.87088879001224
556	569	8.31287279535715
556	579	4.92791642531335
556	710	1.57288932306378
556	714	1.57244274256769
558	569	3.02614533737048
558	579	7.05496922479509
558	710	1.94608397805679
558	714	1.68653961177789
558	742	1.51505419974405
569	579	5.15828048113217
569	710	1.80500930142173
569	714	1.41218501468274
569	742	1.48184681630072
579	710	3.56355045921107
579	714	1.44758705365764
579	742	1.39325810325741
710	714	6.3920081165274
710	742	1.07531986919537
714	742	1.00030318371803
742	758	6.23379428979673
742	759	1.32345358975725
