Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Dis1_catcolor	Dis2_catcolor	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	in_epidem_dd_dm	is_metric	is_ultrametric	id	icd_pairs	in_phi	in_epidem_total
Hyperplastic polyps 	Adenomatous polyps 1	211	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Hyperplastic polyps	Adenomatous polyps	0.276552271460239	2.04094439004243e-92	1.96870422839019e-91	FALSE	FALSE	FALSE	FALSE	24	211 _ 211	FALSE	FALSE
Borrelia burgdorferi infection 	Adenomatous polyps 2	88	211	infectious and parasitic diseases	neoplasms	#A1CE5E	#FFB6AD	Borrelia burgdorferi infection	Adenomatous polyps	-0.0247241349826099	0.0348394084439455	0.0477471999568892	FALSE	FALSE	TRUE	FALSE	25	88 _ 211	FALSE	FALSE
Rheumatoid arthritis 	Adenomatous polyps 1	714	211	diseases of the musculoskeletal system and connective tissue	neoplasms	#969A52	#FFB6AD	Rheumatoid arthritis	Adenomatous polyps	-0.0848106283531978	0.00145176089648519	0.00229090324403082	FALSE	FALSE	TRUE	FALSE	26	211 _ 714	FALSE	FALSE
Bipolar disorder 3	Adenomatous polyps 2	296	211	mental disorders	neoplasms	#805462	#FFB6AD	Bipolar disorder	Adenomatous polyps	-0.156615007215239	2.2947580988147e-22	7.88915162188096e-22	FALSE	FALSE	TRUE	FALSE	27	211 _ 296	FALSE	FALSE
Chronic lymphocytic leukemia 1	Adenomatous polyps 1	204	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Chronic lymphocytic leukemia	Adenomatous polyps	-0.135081557377032	9.8344715882077e-12	2.42330508148715e-11	FALSE	FALSE	TRUE	FALSE	28	204 _ 211	FALSE	FALSE
Autism 1	Adenomatous polyps 1	299	211	mental disorders	neoplasms	#805462	#FFB6AD	Autism	Adenomatous polyps	0.157668750802618	2.47592614369076e-09	5.53913153613926e-09	FALSE	FALSE	FALSE	FALSE	29	211 _ 299	TRUE	TRUE
Facioscapulohumeral muscular dystrophy 1	Adenomatous polyps 1	359	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Facioscapulohumeral muscular dystrophy	Adenomatous polyps	0.0740699197389794	0.00544070923143395	0.00817300686741505	TRUE	FALSE	FALSE	FALSE	30	211 _ 359	TRUE	TRUE
Autism 	Adenomatous polyps 1	299	211	mental disorders	neoplasms	#805462	#FFB6AD	Autism	Adenomatous polyps	0.120194480294703	5.92842471874772e-06	1.11269748111434e-05	FALSE	FALSE	FALSE	FALSE	31	211 _ 299	TRUE	TRUE
Myotonic dystrophy 	Adenomatous polyps 1	359	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Myotonic dystrophy	Adenomatous polyps	0.509481741065553	8.54785353877279e-94	8.38983744148233e-93	TRUE	TRUE	FALSE	FALSE	32	211 _ 359	TRUE	TRUE
Myotonic dystrophy 	Adenomatous polyps 2	359	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Myotonic dystrophy	Adenomatous polyps	0.60576738101218	0	0	TRUE	TRUE	FALSE	FALSE	33	211 _ 359	TRUE	TRUE
