Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Dis1_catcolor	Dis2_catcolor	Distance	pvalue	adj_pvalue	in_epidem	is_metric	is_ultrametric	id	icd_pairs	in_phi	in_epidem_total
Chronic obstructive pulmonary disease	Borrelia burgdorferi infection	496	88	diseases of the respiratory system	infectious and parasitic diseases	#00619C	#A1CE5E	0.0611672463134665	6.73011701196713e-10	1.62861395096221e-09	FALSE	TRUE	FALSE	85	88 _ 496	FALSE	FALSE
Bipolar disorder	Borrelia burgdorferi infection	296	88	mental disorders	infectious and parasitic diseases	#805462	#A1CE5E	0.0473274385600078	0.00121861109933867	0.00193038575591442	FALSE	TRUE	FALSE	86	88 _ 296	TRUE	TRUE
Multiple sclerosis	Borrelia burgdorferi infection	340	88	diseases of the nervous system and sense organs	infectious and parasitic diseases	#985396	#A1CE5E	0.03416550821789	0.0172012793760253	0.0242255960344022	TRUE	TRUE	FALSE	87	88 _ 340	TRUE	TRUE
Chronic lymphocytic leukemia	Borrelia burgdorferi infection	204	88	neoplasms	infectious and parasitic diseases	#FFB6AD	#A1CE5E	-0.0783193660298606	9.12592492243311e-09	2.07106482695632e-08	FALSE	TRUE	FALSE	88	88 _ 204	FALSE	FALSE
Ischemia	Borrelia burgdorferi infection	414	88	diseases of the circulatory system	infectious and parasitic diseases	#DD3232	#A1CE5E	0.0651673088968866	8.33348044083268e-06	1.54992120300837e-05	FALSE	TRUE	FALSE	89	88 _ 414	FALSE	TRUE
Keratoconus	Borrelia burgdorferi infection	371	88	diseases of the nervous system and sense organs	infectious and parasitic diseases	#985396	#A1CE5E	0.082254884606089	1.82401569341709e-08	4.08654155353803e-08	FALSE	TRUE	FALSE	90	88 _ 371	TRUE	TRUE
Lymphocytic colitis	Breast cancer	558	174	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	0.277625872743293	4.02832433832056e-150	9.53733005505084e-149	FALSE	TRUE	FALSE	91	174 _ 558	FALSE	FALSE
Papillary thyroid cancer	Breast cancer	193	174	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.195550597095316	2.04986279815618e-79	2.21688865578372e-78	FALSE	TRUE	FALSE	92	174 _ 193	FALSE	TRUE
Prostate cancer	Breast cancer	185	174	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.047915650699995	9.97693282628782e-06	1.83609099912356e-05	FALSE	TRUE	FALSE	93	174 _ 185	FALSE	TRUE
Chronic obstructive pulmonary disease	Breast cancer	496	174	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	-0.372060259621911	0	0	FALSE	TRUE	TRUE	94	174 _ 496	FALSE	FALSE
Multiple sclerosis	Breast cancer	340	174	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	-0.0306831349310929	0.00430218055110556	0.00646433990183271	FALSE	TRUE	FALSE	95	174 _ 340	FALSE	FALSE
Keratoconus	Breast cancer	371	174	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	-0.0989844731155154	6.05878616366083e-20	2.15751897535239e-19	FALSE	TRUE	FALSE	96	174 _ 371	FALSE	FALSE
Cardiomyopathy	Breast cancer	425	174	diseases of the circulatory system	neoplasms	#DD3232	#FFB6AD	-0.223709170356572	2.08971894173703e-97	2.73222954173379e-96	FALSE	TRUE	FALSE	97	174 _ 425	FALSE	FALSE
Crohn's disease	Breast cancer	555	174	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	-0.276323295266375	9.65304779404194e-211	2.81868995586025e-209	FALSE	TRUE	TRUE	98	174 _ 555	FALSE	FALSE
Hyperplastic polyps	Breast cancer	211	174	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.0392045605711765	7.19872772418796e-05	0.000124755846842284	FALSE	TRUE	FALSE	99	174 _ 211	FALSE	TRUE
Post-traumatic stress disorder	Breast cancer	309	174	mental disorders	neoplasms	#805462	#FFB6AD	0.23876633518846	2.13657338565729e-110	3.40297870151961e-109	FALSE	TRUE	FALSE	100	174 _ 309	FALSE	TRUE
Chronic lymphocytic leukemia	Breast cancer	204	174	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.0741012768046312	2.4380993235768e-12	6.55145707807753e-12	FALSE	TRUE	FALSE	101	174 _ 204	FALSE	FALSE
Colorectal cancer	Breast cancer	153	174	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.0670914702835204	2.67741224064068e-10	6.65723677116486e-10	FALSE	TRUE	FALSE	102	153 _ 174	FALSE	TRUE
Smoker	Breast cancer	305	174	mental disorders	neoplasms	#805462	#FFB6AD	-0.0795988639887442	9.50495061031931e-14	2.73892655744728e-13	FALSE	TRUE	FALSE	103	174 _ 305	FALSE	FALSE
Muscular dystrophy	Breast cancer	359	174	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	-0.129693496989996	3.50256756637416e-33	1.80485246361398e-32	FALSE	TRUE	FALSE	104	174 _ 359	FALSE	FALSE
Alagille syndrome	Breast cancer	759	174	congenital anomalies	neoplasms	#AEC6CC	#FFB6AD	0.232999647093723	4.48731223525853e-105	6.77738882428702e-104	FALSE	TRUE	FALSE	105	174 _ 759	FALSE	FALSE
Schizophrenia	Breast cancer	295	174	mental disorders	neoplasms	#805462	#FFB6AD	0.0372000595123134	0.00053597091143064	0.00087269613087963	FALSE	TRUE	FALSE	106	174 _ 295	FALSE	TRUE
Down syndrome	Breast cancer	758	174	congenital anomalies	neoplasms	#AEC6CC	#FFB6AD	-0.0748122699066649	4.8856743639872e-12	1.29692446753115e-11	FALSE	TRUE	FALSE	107	174 _ 758	FALSE	FALSE
