Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Dis1_catcolor	Dis2_catcolor	Distance	pvalue	adj_pvalue	in_epidem	is_metric	is_ultrametric	id	icd_pairs	in_phi	in_epidem_total
Post-traumatic stress disorder	Friedreich's ataxia	309	334	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	-0.186460427604208	2.28285563582795e-22	8.58275337761925e-22	FALSE	TRUE	FALSE	222	309 _ 334	FALSE	FALSE
Facioscapulohumeral muscular dystrophy	Friedreich's ataxia	359	334	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	-0.106595534939745	3.23153785208697e-08	7.13054699855965e-08	FALSE	TRUE	FALSE	223	334 _ 359	FALSE	FALSE
Breast cancer	Friedreich's ataxia	174	334	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	-0.0604485540018705	3.49795437222058e-09	8.19306959910488e-09	FALSE	TRUE	FALSE	224	174 _ 334	FALSE	FALSE
Familial pulmonary arterial hypertension	Friedreich's ataxia	416	334	diseases of the circulatory system	diseases of the nervous system and sense organs	#DD3232	#985396	0.055708351000289	0.00393622274537014	0.00592462392602104	FALSE	TRUE	FALSE	225	334 _ 416	FALSE	TRUE
Eosinophilic esophagitis	Friedreich's ataxia	530	334	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	0.0289059199331751	0.0177378609421691	0.024941197729278	TRUE	TRUE	FALSE	226	334 _ 530	TRUE	TRUE
Asthma	Friedreich's ataxia	493	334	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	0.0721185972045835	1.05942591428862e-05	1.94154205212727e-05	FALSE	TRUE	FALSE	227	334 _ 493	FALSE	FALSE
Cardiomyopathy	Friedreich's ataxia	425	334	diseases of the circulatory system	diseases of the nervous system and sense organs	#DD3232	#985396	0.101264893634012	8.26685152736949e-08	1.77930268746331e-07	FALSE	TRUE	FALSE	228	334 _ 425	TRUE	TRUE
Coeliac disease	Friedreich's ataxia	579	334	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	-0.11451165793762	2.8227234346501e-09	6.66497501011721e-09	FALSE	TRUE	FALSE	229	334 _ 579	FALSE	FALSE
Prostate cancer	Friedreich's ataxia	185	334	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	-0.163013852824096	2.11706640665585e-17	6.91996332921838e-17	FALSE	TRUE	FALSE	230	185 _ 334	FALSE	FALSE
Lymphocytic colitis	Friedreich's ataxia	558	334	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	0.116625659936581	1.43036767775042e-09	3.41417462046149e-09	TRUE	TRUE	FALSE	231	334 _ 558	TRUE	TRUE
Myotonic dystrophy	Friedreich's ataxia	359	334	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	-0.19946638808987	2.00112411822424e-25	8.153417337509e-25	FALSE	TRUE	FALSE	232	334 _ 359	FALSE	FALSE
Amyotrophic lateral sclerosis	Friedreich's ataxia	335	334	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	0.104750040798213	5.50464389941313e-08	1.20251073712865e-07	TRUE	TRUE	FALSE	233	334 _ 335	TRUE	TRUE
Adenomatous polyps	Friedreich's ataxia	211	334	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	-0.368251543549101	2.89943947906298e-104	4.23318163943196e-103	FALSE	TRUE	TRUE	234	211 _ 334	FALSE	FALSE
Rheumatoid arthritis	Friedreich's ataxia	714	334	diseases of the musculoskeletal system and connective tissue	diseases of the nervous system and sense organs	#969A52	#985396	-0.0413726932729225	0.0323120531832509	0.0436637536648123	FALSE	TRUE	FALSE	235	334 _ 714	FALSE	FALSE
Smoker	Friedreich's ataxia	305	334	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	0.0458483933094922	0.0100537392352235	0.0144378288033701	TRUE	TRUE	FALSE	236	305 _ 334	TRUE	TRUE
Liver cancer	Friedreich's ataxia	155	334	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	0.0773603395733212	2.73476613014309e-12	7.32616247708058e-12	FALSE	TRUE	FALSE	237	155 _ 334	TRUE	TRUE
Hyperplastic polyps	Friedreich's ataxia	211	334	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	-0.0622443312846537	9.48075013431236e-07	1.87474878502429e-06	FALSE	TRUE	FALSE	238	211 _ 334	FALSE	FALSE
Parkinson's disease	Friedreich's ataxia	332	334	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	-0.082048920814928	6.97928173002013e-11	1.76191665576301e-10	FALSE	TRUE	FALSE	239	332 _ 334	FALSE	FALSE
Lung cancer	Friedreich's ataxia	162	334	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	0.0796430277704311	1.01503318295322e-13	2.91530842054761e-13	TRUE	TRUE	FALSE	240	162 _ 334	TRUE	TRUE
Papillary thyroid cancer	Friedreich's ataxia	193	334	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	0.0633755645367445	6.54088645443962e-05	0.000113686835993831	FALSE	TRUE	FALSE	241	193 _ 334	FALSE	FALSE
Bipolar disorder	Friedreich's ataxia	296	334	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	-0.104222329247463	6.4938338609262e-08	1.40223289654195e-07	FALSE	TRUE	FALSE	242	296 _ 334	FALSE	FALSE
Systemic lupus erythematosus	Friedreich's ataxia	710	334	diseases of the musculoskeletal system and connective tissue	diseases of the nervous system and sense organs	#969A52	#985396	0.150285146845373	5.36803152627849e-15	1.62712651107957e-14	TRUE	TRUE	FALSE	243	334 _ 710	TRUE	TRUE
Ulcer	Friedreich's ataxia	569	334	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	0.124632918987527	2.51677332092078e-24	9.9759883670887e-24	FALSE	TRUE	FALSE	244	334 _ 569	TRUE	TRUE
Chronic obstructive pulmonary disease	Friedreich's ataxia	496	334	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	0.258717820321833	1.20062133049175e-136	2.33720952335727e-135	TRUE	TRUE	TRUE	245	334 _ 496	TRUE	TRUE
Colorectal cancer	Friedreich's ataxia	153	334	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	0.0365987202398595	0.0343441892219219	0.0461434198748522	FALSE	TRUE	FALSE	246	153 _ 334	FALSE	FALSE
Muscular dystrophy	Friedreich's ataxia	359	334	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	-0.267206223987158	5.37881100580153e-45	3.51629734409115e-44	FALSE	TRUE	TRUE	247	334 _ 359	FALSE	FALSE
Keratoconus	Friedreich's ataxia	371	334	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	0.167906788813916	2.21928339392747e-18	7.50614769529135e-18	FALSE	TRUE	FALSE	248	334 _ 371	TRUE	TRUE
Crohn's disease	Friedreich's ataxia	555	334	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	0.082397121348615	3.48755060400574e-16	1.09895479464354e-15	FALSE	TRUE	FALSE	249	334 _ 555	FALSE	FALSE
Down syndrome	Glioblastoma	758	191	congenital anomalies	neoplasms	#AEC6CC	#FFB6AD	-0.045309211629763	2.32774528525091e-05	4.19568903267448e-05	FALSE	TRUE	FALSE	250	191 _ 758	FALSE	FALSE
Human immunodeficiency virus infection	Glioblastoma	42	191	infectious and parasitic diseases	neoplasms	#A1CE5E	#FFB6AD	-0.0251294886060854	0.0190873177283315	0.0267100484505086	FALSE	TRUE	FALSE	251	42 _ 191	FALSE	FALSE
Sessile serrated polyps	Glioblastoma	211	191	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.0414623504779734	3.70339040753932e-05	6.52750502415381e-05	FALSE	TRUE	FALSE	252	191 _ 211	FALSE	TRUE
Schizophrenia	Glioblastoma	295	191	mental disorders	neoplasms	#805462	#FFB6AD	0.245370719407251	4.08377373371075e-121	7.30078732802167e-120	FALSE	TRUE	FALSE	253	191 _ 295	FALSE	FALSE
Idiopathic pulmonary fibrosis	Glioblastoma	516	191	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	0.106026739635944	2.98716578206406e-30	1.4144633649125e-29	FALSE	TRUE	FALSE	254	191 _ 516	TRUE	TRUE
Multiple sclerosis	Glioblastoma	340	191	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	0.323461444872758	8.87341132547824e-214	2.68038217969619e-212	FALSE	TRUE	FALSE	255	191 _ 340	FALSE	FALSE
Adenomatous polyps	Glioblastoma	211	191	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.135147987514734	5.56654344893786e-38	3.10591851036278e-37	FALSE	TRUE	FALSE	256	191 _ 211	FALSE	TRUE
Cardiomyopathy	Glioblastoma	425	191	diseases of the circulatory system	neoplasms	#DD3232	#FFB6AD	-0.101120605211249	2.35764663701887e-21	8.49917059271001e-21	FALSE	TRUE	TRUE	257	191 _ 425	FALSE	FALSE
Smoker	Glioblastoma	305	191	mental disorders	neoplasms	#805462	#FFB6AD	-0.0520844376090512	8.33646185185818e-07	1.65971376868813e-06	FALSE	TRUE	FALSE	258	191 _ 305	FALSE	FALSE
Bipolar disorder	Glioblastoma	296	191	mental disorders	neoplasms	#805462	#FFB6AD	0.409875413425521	0	0	FALSE	TRUE	FALSE	259	191 _ 296	TRUE	TRUE
Systemic lupus erythematosus	Glioblastoma	710	191	diseases of the musculoskeletal system and connective tissue	neoplasms	#969A52	#FFB6AD	0.118567612393802	1.30912420421734e-28	5.79188284290094e-28	FALSE	TRUE	FALSE	260	191 _ 710	FALSE	FALSE
Ulcer	Glioblastoma	569	191	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	0.171859576217307	7.95837888685191e-73	8.01326425848538e-72	FALSE	TRUE	FALSE	261	191 _ 569	FALSE	FALSE
Colorectal cancer	Glioblastoma	153	191	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.092731868441875	1.05805014368894e-18	3.63471343479023e-18	FALSE	TRUE	FALSE	262	153 _ 191	FALSE	FALSE
Liver cancer	Glioblastoma	155	191	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.0651336064079945	2.90935528841846e-12	7.7701074166298e-12	TRUE	TRUE	FALSE	263	155 _ 191	TRUE	TRUE
Parkinson's disease	Glioblastoma	332	191	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	0.458736593810193	0	0	FALSE	TRUE	FALSE	264	191 _ 332	FALSE	TRUE
Papillary thyroid cancer	Glioblastoma	193	191	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.137199661833461	2.00459611341687e-40	1.18650418604945e-39	FALSE	TRUE	FALSE	265	191 _ 193	TRUE	TRUE
Ischemia	Glioblastoma	414	191	diseases of the circulatory system	neoplasms	#DD3232	#FFB6AD	0.0851393906729546	1.79742404453534e-15	5.46716480212834e-15	FALSE	FALSE	FALSE	266	191 _ 414	FALSE	FALSE
Chronic lymphocytic leukemia	Glioblastoma	204	191	neoplasms	neoplasms	#FFB6AD	#FFB6AD	-0.0873365325470169	6.83498586018375e-17	2.20126750497094e-16	FALSE	TRUE	FALSE	267	191 _ 204	FALSE	FALSE
Eosinophilic esophagitis	Glioblastoma	530	191	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	0.100394822173603	1.58469238373984e-25	6.48687162689768e-25	FALSE	TRUE	FALSE	268	191 _ 530	FALSE	FALSE
Familial dysautonomia	Glioblastoma	742	191	congenital anomalies	neoplasms	#AEC6CC	#FFB6AD	0.365985343416597	2.56258351972579e-286	1.06896341108562e-284	TRUE	TRUE	FALSE	269	191 _ 742	TRUE	TRUE
Crohn's disease	Glioblastoma	555	191	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	0.0848417557597705	2.01120242903802e-21	7.28022036296409e-21	FALSE	TRUE	FALSE	270	191 _ 555	FALSE	FALSE
Alagille syndrome	Glioblastoma	759	191	congenital anomalies	neoplasms	#AEC6CC	#FFB6AD	-0.0383746452319414	0.000343663751003583	0.000565882417066051	FALSE	TRUE	FALSE	271	191 _ 759	FALSE	FALSE
Hyperplastic polyps	Glioblastoma	211	191	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.0448914184128111	3.82256919663563e-06	7.39198811534837e-06	FALSE	TRUE	FALSE	272	191 _ 211	FALSE	TRUE
Lymphocytic colitis	Glioblastoma	558	191	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	0.0716810198002192	2.18303361098443e-11	5.6080276927342e-11	FALSE	TRUE	FALSE	273	191 _ 558	FALSE	FALSE
Facioscapulohumeral muscular dystrophy	Glioblastoma	359	191	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	0.0931906982455875	3.05329331197508e-18	1.02478350241003e-17	TRUE	TRUE	FALSE	274	191 _ 359	TRUE	TRUE
Chronic obstructive pulmonary disease	Glioblastoma	496	191	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	-0.0311140246963614	0.000643957696695301	0.00104078771643004	FALSE	TRUE	FALSE	275	191 _ 496	FALSE	FALSE
Autism	Glioblastoma	299	191	mental disorders	neoplasms	#805462	#FFB6AD	0.161274906620102	8.39668602966937e-52	6.23347200168675e-51	FALSE	TRUE	FALSE	276	191 _ 299	FALSE	FALSE
Breast cancer	Glioblastoma	174	191	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.0878321682538689	3.31082083969682e-22	1.2289318032095e-21	FALSE	TRUE	FALSE	277	174 _ 191	FALSE	TRUE
Borrelia burgdorferi infection	Glioblastoma	88	191	infectious and parasitic diseases	neoplasms	#A1CE5E	#FFB6AD	-0.0823158823718459	2.14713433201063e-17	6.99215492506065e-17	FALSE	TRUE	FALSE	278	88 _ 191	FALSE	FALSE
Keratoconus	Glioblastoma	371	191	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	-0.0515108655856798	1.53335965738342e-06	2.99158810660997e-06	FALSE	TRUE	FALSE	279	191 _ 371	FALSE	FALSE
Asthma	Glioblastoma	493	191	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	0.0794597201689432	1.70615275218598e-14	5.10098911575057e-14	FALSE	TRUE	FALSE	280	191 _ 493	FALSE	FALSE
Prostate cancer	Glioblastoma	185	191	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.0588019469919595	4.05760274858969e-08	8.93080403960946e-08	FALSE	TRUE	FALSE	281	185 _ 191	FALSE	FALSE
Colorectal cancer	Human immunodeficiency virus infection	153	42	neoplasms	infectious and parasitic diseases	#FFB6AD	#A1CE5E	0.165843147226371	1.44648507372347e-06	2.82839492094143e-06	FALSE	TRUE	FALSE	282	42 _ 153	FALSE	FALSE
Parkinson's disease	Human immunodeficiency virus infection	332	42	diseases of the nervous system and sense organs	infectious and parasitic diseases	#985396	#A1CE5E	-0.0421730859797442	0.00465249447335387	0.00695492347893855	FALSE	FALSE	FALSE	283	42 _ 332	FALSE	FALSE
Hyperplastic polyps	Human immunodeficiency virus infection	211	42	neoplasms	infectious and parasitic diseases	#FFB6AD	#A1CE5E	-0.135721616692732	4.45169875203641e-19	1.55366060031231e-18	FALSE	FALSE	FALSE	284	42 _ 211	FALSE	FALSE
Crohn's disease	Human immunodeficiency virus infection	555	42	diseases of the digestive system	infectious and parasitic diseases	#FBAF5F	#A1CE5E	0.111067393185251	5.13225617016155e-25	2.06231945186308e-24	FALSE	TRUE	FALSE	285	42 _ 555	FALSE	FALSE
Ulcer	Human immunodeficiency virus infection	569	42	diseases of the digestive system	infectious and parasitic diseases	#FBAF5F	#A1CE5E	0.0727194030169788	4.64659067652454e-07	9.40049291601731e-07	FALSE	TRUE	FALSE	286	42 _ 569	TRUE	TRUE
Eosinophilic esophagitis	Human immunodeficiency virus infection	530	42	diseases of the digestive system	infectious and parasitic diseases	#FBAF5F	#A1CE5E	0.0553670204299691	8.45410143297511e-05	0.000145783323922957	TRUE	TRUE	FALSE	287	42 _ 530	TRUE	TRUE
Autism	Huntington's disease	299	333	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	0.294484072154615	1.05095028831967e-59	8.36938593243664e-59	TRUE	TRUE	FALSE	288	299 _ 333	TRUE	TRUE
Post-traumatic stress disorder	Huntington's disease	309	333	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	-0.0425904806394316	0.0212511178477188	0.0294091299124829	FALSE	TRUE	FALSE	289	309 _ 333	FALSE	FALSE
Chronic lymphocytic leukemia	Huntington's disease	204	333	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	-0.154762820990294	1.64712761597854e-21	5.98706967467717e-21	FALSE	TRUE	FALSE	290	204 _ 333	FALSE	FALSE
Schizophrenia	Huntington's disease	295	333	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	0.361176287258291	1.45552674750948e-98	1.96160220125893e-97	TRUE	TRUE	FALSE	291	295 _ 333	TRUE	TRUE
Cardiomyopathy	Huntington's disease	425	333	diseases of the circulatory system	diseases of the nervous system and sense organs	#DD3232	#985396	-0.121494521185931	1.97835562066615e-11	5.11221098437625e-11	FALSE	TRUE	FALSE	292	333 _ 425	FALSE	FALSE
Crohn's disease	Huntington's disease	555	333	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	0.101583875121487	4.54606290933835e-24	1.78580767200914e-23	FALSE	TRUE	FALSE	293	333 _ 555	TRUE	TRUE
Coeliac disease	Huntington's disease	579	333	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	0.164683315471344	3.12903260814953e-19	1.0964130258956e-18	TRUE	TRUE	FALSE	294	333 _ 579	TRUE	TRUE
Alagille syndrome	Huntington's disease	759	333	congenital anomalies	diseases of the nervous system and sense organs	#AEC6CC	#985396	-0.210444085217149	1.20675083490082e-30	5.77657776706624e-30	FALSE	TRUE	FALSE	295	333 _ 759	FALSE	FALSE
Breast cancer	Huntington's disease	174	333	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	-0.11250399337127	1.0425754937207e-28	4.63602097715396e-28	FALSE	TRUE	FALSE	296	174 _ 333	FALSE	FALSE
Lung cancer	Huntington's disease	162	333	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	-0.0895361292142298	3.21856377403908e-17	1.04424513557712e-16	FALSE	TRUE	FALSE	297	162 _ 333	FALSE	FALSE
Adenomatous polyps	Huntington's disease	211	333	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	0.110122966438805	5.19923829595761e-11	1.32015441949532e-10	TRUE	TRUE	FALSE	298	211 _ 333	TRUE	TRUE
Multiple sclerosis	Huntington's disease	340	333	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	0.530797557357084	1.64527969145767e-227	5.76506003886768e-226	FALSE	TRUE	TRUE	299	333 _ 340	TRUE	TRUE
Eosinophilic esophagitis	Huntington's disease	530	333	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	0.0765233054510524	1.3976259311518e-10	3.50808113377931e-10	TRUE	TRUE	FALSE	300	333 _ 530	TRUE	TRUE
Parkinson's disease	Huntington's disease	332	333	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	0.566854608070482	0	0	TRUE	TRUE	TRUE	301	332 _ 333	TRUE	TRUE
Rheumatoid arthritis	Huntington's disease	714	333	diseases of the musculoskeletal system and connective tissue	diseases of the nervous system and sense organs	#969A52	#985396	0.245048745199157	2.95657410969971e-41	1.79858258340066e-40	TRUE	TRUE	FALSE	302	333 _ 714	TRUE	TRUE
Hyperplastic polyps	Huntington's disease	211	333	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	-0.0512927019087882	4.02641577995816e-05	7.06841728104879e-05	FALSE	TRUE	FALSE	303	211 _ 333	FALSE	FALSE
Ischemia	Huntington's disease	414	333	diseases of the circulatory system	diseases of the nervous system and sense organs	#DD3232	#985396	0.170017801714699	2.00941825588832e-20	7.18469547819661e-20	FALSE	TRUE	FALSE	304	333 _ 414	FALSE	FALSE
Glioblastoma	Huntington's disease	191	333	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	0.486817453459417	0	0	FALSE	TRUE	TRUE	305	191 _ 333	TRUE	TRUE
Bipolar disorder	Huntington's disease	296	333	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	0.594145080445393	1.05490365534938e-278	4.20043455493664e-277	TRUE	TRUE	TRUE	306	296 _ 333	TRUE	TRUE
Sessile serrated polyps	Huntington's disease	211	333	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	-0.0387351627871129	0.00538408230544706	0.00798046717355605	FALSE	TRUE	FALSE	307	211 _ 333	FALSE	FALSE
Asthma	Huntington's disease	493	333	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	-0.131895642175928	1.10758008101626e-16	3.52814600352816e-16	FALSE	TRUE	FALSE	308	333 _ 493	FALSE	FALSE
Myotonic dystrophy	Huntington's disease	359	333	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	-0.130233655035389	1.54284762788244e-12	4.19731218020192e-12	FALSE	TRUE	FALSE	309	333 _ 359	FALSE	FALSE
Muscular dystrophy	Huntington's disease	359	333	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	0.0849123184593055	4.25176630296994e-06	8.2038486374486e-06	TRUE	FALSE	FALSE	310	333 _ 359	TRUE	TRUE
Smoker	Huntington's disease	305	333	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	-0.234397538550692	6.08501624384253e-44	3.89085710190223e-43	FALSE	TRUE	TRUE	311	305 _ 333	FALSE	FALSE
Facioscapulohumeral muscular dystrophy	Huntington's disease	359	333	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	0.0835399246905106	6.06557100802652e-06	1.15009528204139e-05	TRUE	TRUE	FALSE	312	333 _ 359	TRUE	TRUE
Amyotrophic lateral sclerosis	Huntington's disease	335	333	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	0.45129445844908	7.32940246615525e-147	1.64629655393641e-145	TRUE	TRUE	TRUE	313	333 _ 335	TRUE	TRUE
Familial dysautonomia	Huntington's disease	742	333	congenital anomalies	diseases of the nervous system and sense organs	#AEC6CC	#985396	0.408605283080779	1.52498608551447e-149	3.51549423923861e-148	TRUE	TRUE	TRUE	314	333 _ 742	TRUE	TRUE
Liver cancer	Huntington's disease	155	333	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	-0.0965073797921484	7.79985108310476e-19	2.70065990071137e-18	FALSE	TRUE	FALSE	315	155 _ 333	FALSE	FALSE
Human immunodeficiency virus infection	Huntington's disease	42	333	infectious and parasitic diseases	diseases of the nervous system and sense organs	#A1CE5E	#985396	-0.0822505185177914	8.42757896220295e-06	1.56410151925631e-05	FALSE	FALSE	FALSE	316	42 _ 333	FALSE	FALSE
Down syndrome	Huntington's disease	758	333	congenital anomalies	diseases of the nervous system and sense organs	#AEC6CC	#985396	-0.162405975094458	6.82837006374232e-19	2.37367149834852e-18	FALSE	TRUE	TRUE	317	333 _ 758	FALSE	FALSE
Borrelia burgdorferi infection	Huntington's disease	88	333	infectious and parasitic diseases	diseases of the nervous system and sense organs	#A1CE5E	#985396	0.0722542000218779	3.60394328657129e-09	8.41881151743054e-09	TRUE	TRUE	FALSE	318	88 _ 333	TRUE	TRUE
Keratoconus	Huntington's disease	371	333	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	0.0801963441762925	1.40920570900338e-05	2.57180041893118e-05	FALSE	TRUE	FALSE	319	333 _ 371	FALSE	FALSE
Papillary thyroid cancer	Huntington's disease	193	333	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	-0.0621831451684197	6.299906926176e-05	0.00010993463082331	FALSE	TRUE	FALSE	320	193 _ 333	FALSE	FALSE
Lymphocytic colitis	Huntington's disease	558	333	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	-0.148480541627971	6.93491455066012e-16	2.16963755227795e-15	FALSE	TRUE	FALSE	321	333 _ 558	FALSE	FALSE
Ulcer	Huntington's disease	569	333	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	0.028364515447839	0.0192623507334106	0.0268691389211268	TRUE	TRUE	FALSE	322	333 _ 569	TRUE	TRUE
Chronic obstructive pulmonary disease	Hyperplastic polyps	496	211	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	-0.178848240102211	1.25101703795584e-72	1.24533059687422e-71	FALSE	TRUE	FALSE	323	211 _ 496	FALSE	FALSE
Eosinophilic esophagitis	Hyperplastic polyps	530	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	-0.214117095876905	8.42711218074417e-79	8.8941569522071e-78	FALSE	TRUE	FALSE	324	211 _ 530	FALSE	FALSE
Bipolar disorder	Hyperplastic polyps	296	211	mental disorders	neoplasms	#805462	#FFB6AD	-0.20609474385279	2.41942181876424e-42	1.50313015123225e-41	FALSE	TRUE	FALSE	325	211 _ 296	FALSE	FALSE
Cardiomyopathy	Hyperplastic polyps	425	211	diseases of the circulatory system	neoplasms	#DD3232	#FFB6AD	-0.269260087737127	7.98515414396984e-74	8.13371515129951e-73	FALSE	TRUE	FALSE	326	211 _ 425	FALSE	FALSE
Ulcer	Hyperplastic polyps	569	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	0.155327709526142	1.71315380766161e-42	1.07194481107969e-41	TRUE	TRUE	FALSE	327	211 _ 569	TRUE	TRUE
Parkinson's disease	Hyperplastic polyps	332	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	0.243872014787647	1.35285519591861e-101	1.88111293908683e-100	FALSE	TRUE	FALSE	328	211 _ 332	FALSE	FALSE
Crohn's disease	Hyperplastic polyps	555	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	-0.0204015564917501	0.0372945275871445	0.0497260367828593	FALSE	TRUE	FALSE	329	211 _ 555	FALSE	FALSE
Adenomatous polyps	Hyperplastic polyps	211	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.374038152147868	1.93003274791115e-160	4.97267260932401e-159	FALSE	TRUE	FALSE	330	211 _ 211	FALSE	FALSE
Muscular dystrophy	Hyperplastic polyps	359	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	-0.0745140543662354	1.03855081258917e-06	2.04903268429755e-06	FALSE	TRUE	FALSE	331	211 _ 359	FALSE	FALSE
Colorectal cancer	Hyperplastic polyps	153	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.0602872286734072	2.84921943579177e-05	5.05246199545262e-05	TRUE	TRUE	FALSE	332	153 _ 211	TRUE	TRUE
Lymphocytic colitis	Hyperplastic polyps	558	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	-0.31845379037515	1.21554502475282e-101	1.71744748658624e-100	FALSE	TRUE	TRUE	333	211 _ 558	FALSE	FALSE
Multiple sclerosis	Hyperplastic polyps	340	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	0.14988456859543	4.49706607468411e-24	1.77451796460508e-23	FALSE	TRUE	FALSE	334	211 _ 340	FALSE	FALSE
Down syndrome	Hyperplastic polyps	758	211	congenital anomalies	neoplasms	#AEC6CC	#FFB6AD	0.148554333464679	1.05492207947565e-22	4.00048372995959e-22	FALSE	TRUE	FALSE	335	211 _ 758	FALSE	FALSE
Asthma	Idiopathic pulmonary fibrosis	493	516	diseases of the respiratory system	diseases of the respiratory system	#00619C	#00619C	-0.0861189368339543	2.25952404823214e-13	6.30364033838011e-13	FALSE	TRUE	FALSE	336	493 _ 516	FALSE	FALSE
